MMSI,Ship Name,Global Ship Type,Ship Type,Ship Type Specific,Lenght,Breadth,Max Speed,Average Speed
123412341,FAT123,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,79.0,16.0,0.0,7.1
201100115,FROJDI II,CARGO,CARGO,GENERAL CARGO,74.91,10.6,7.3,6.4
201100124,RAFAELO,CARGO,CARGO,GENERAL CARGO,89.32,12.5,7.4,6.7
201100134,RAFAELO I,CARGO,CARGO,GENERAL CARGO,79.02,10.9,9.9,7.4
201100136,KRISTI I,CARGO,CARGO,GENERAL CARGO,85.64,14.23,11.1,9.6
201100143,OPEN BALKAN,FISHING,FISHING,FISHERY RESEARCH VESSEL,47.24,10.32,9.3,9.0
201100149,BERGFJORD,CARGO,CARGO,GENERAL CARGO,82.2,12.5,0.0,6.4
201100150,ANA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,110.14,20.1,0.0,6.8
201100190,BUNA,SPECIAL CRAFT,DREDGER,DREDGER,47.0,8.0,7.1,6.5
201100192,DEVIS III,SPECIAL CRAFT,DREDGER,SUCTION HOPPER DREDGER,55.78,10.22,0.0,5.5
203150100,ALMANA,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,37.5,7.01,0.0,8.6
203241100,PERIAN,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,16.0,5.0,9.3,8.4
205584000,CORNELIA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,34.0,8.04,10.4,9.1
205788000,LA BELLE DES OCEANS,PASSENGER,PASSENGER,PASSENGER SHIP,102.96,15.4,9.2,7.5
209210000,MOZART,TANKER,TANKER,CHEMICAL TANKER,93.99,12.5,14.5,10.2
209306000,GUANG RONG,CARGO,CARGO,DECK CARGO SHIP,103.8,25.0,7.7,6.8
209452000,BREB XIAN,CARGO,CARGO,GENERAL CARGO,100.56,16.2,9.7,5.8
209510000,MSC AURELIA,PASSENGER,PASSENGER,ACCOMMODATION VESSEL,147.97,25.4,11.1,9.3
